created_epoch,created_at,updated_at,value,completed_at,feed_id,expiration,position,id,lat,lon,ele
1699654209,2023-11-10T22:10:09Z,,0,,2630806,2023-12-10T22:10:09Z,,0FEN8DN6J5823W4AVFKP2BTJVK,,,
1699653306,2023-11-10T21:55:06Z,,0,,2630806,2023-12-10T21:55:06Z,,0FEN851HZC599C75VRS9HG10AV,,,
1699652400,2023-11-10T21:40:00Z,,0,,2630806,2023-12-10T21:40:00Z,,0FEN7WD872QPM0WFB5D7ZE5R50,,,
1699651498,2023-11-10T21:24:58Z,,3,,2630806,2023-12-10T21:24:58Z,,0FEN7KSXGQ16NEJSMJM89AF1SB,,,
1699650597,2023-11-10T21:09:57Z,,13,,2630806,2023-12-10T21:09:57Z,,0FEN7B6V9WJPQQBERPE4WQWM6B,,,
1699649693,2023-11-10T20:54:53Z,,29,,2630806,2023-12-10T20:54:53Z,,0FEN72K6ME73ZKGGC6MF98ZK06,,,
1699648788,2023-11-10T20:39:48Z,,40,,2630806,2023-12-10T20:39:48Z,,0FEN6SYYHXR8C3JZMX4W7A1TDC,,,
1699647887,2023-11-10T20:24:47Z,,62,,2630806,2023-12-10T20:24:47Z,,0FEN6HC1A4VN1YV49P8KBKMTRX,,,
1699646985,2023-11-10T20:09:45Z,,92,,2630806,2023-12-10T20:09:45Z,,0FEN68RMEVCZKN0A2EGH5Y06MH,,,
1699646080,2023-11-10T19:54:40Z,,75,,2630806,2023-12-10T19:54:40Z,,0FEN604DRAFNSYY2DMKHKEWD2B,,,
1699645178,2023-11-10T19:39:38Z,,33,,2630806,2023-12-10T19:39:38Z,,0FEN5QH74NFKJH8GMERRWPYMA3,,,
1699644275,2023-11-10T19:24:35Z,,134,,2630806,2023-12-10T19:24:35Z,,0FEN5EXM9E9GQW7N6MQC1KFQCR,,,
1699643373,2023-11-10T19:09:33Z,,394,,2630806,2023-12-10T19:09:33Z,,0FEN56A7SFA26JH98DPZX62JWJ,,,
1699642471,2023-11-10T18:54:31Z,,438,,2630806,2023-12-10T18:54:31Z,,0FEN4XPZPPJJQWNT3KMAVG1V88,,,
1699641566,2023-11-10T18:39:26Z,,504,,2630806,2023-12-10T18:39:26Z,,0FEN4N2XS9VFDBGYAQNWHNN5V2,,,
1699640664,2023-11-10T18:24:24Z,,705,,2630806,2023-12-10T18:24:24Z,,0FEN4CFKPXK82KZSDVY5Q8Y2EY,,,
1699639758,2023-11-10T18:09:18Z,,314,,2630806,2023-12-10T18:09:18Z,,0FEN43V8JQMB725H2C9WVDZ32N,,,
1699638854,2023-11-10T17:54:14Z,,318,,2630806,2023-12-10T17:54:14Z,,0FEN3V78T44CW0DBAT7CA9FHZH,,,
1699637951,2023-11-10T17:39:11Z,,124,,2630806,2023-12-10T17:39:11Z,,0FEN3JKJ72R6HT1W09DB7TW1AC,,,
1699637046,2023-11-10T17:24:06Z,,100,,2630806,2023-12-10T17:24:06Z,,0FEN39ZHCX6KMM9P2CC89DB0B8,,,
1699636143,2023-11-10T17:09:03Z,,151,,2630806,2023-12-10T17:09:03Z,,0FEN31BW86Z36XBYRJDD1ZBW8N,,,
